day,lot_number,title,estimate_low,estimate_high,current_bid,bid_count,image_count,url
day3,3246,"THOS. MOSER CABINETMAKERS ""NEW GLOUCESTER"" ROCKER",800,1200,250,3,3,https://live.thomastonauction.com/auction-lot/thos-moser-cabinetmakers-new-gloucester-rocker_0968669e10
day3,3053,"TIFFANY & CO. HAMMERED STERLING JAPONESQUE PITCHER",3000,5000,1500,3,3,https://live.thomastonauction.com/auction-lot/tiffany-co-hammered-sterling-japonesque-pitcher_8f413f34a4
day3,3057,"TIFFANY & CO. ""ST. JAMES"" PATTERN STERLING ICE TONGS",600,800,250,3,3,https://live.thomastonauction.com/auction-lot/tiffany-co-st-james-pattern-sterling-ice-tongs_a8e79c4651
day3,3058,"TIFFANY & CO. STERLING ""HAMILTON"" CREAMER & SUGAR SET",600,800,250,3,2,https://live.thomastonauction.com/auction-lot/tiffany-co-sterling-hamilton-creamer-sugar-set_932049382e
day3,3055,"TIFFANY & CO. STERLING OVAL FOOTED CENTER BOWL",1400,1600,700,3,3,https://live.thomastonauction.com/auction-lot/tiffany-co-sterling-oval-footed-center-bowl_0b36038540
day3,3051,"TIFFANY STUDIOS ""ACORN"" PATTERN LEADED GLASS LAMP SHADE",3000,5000,1500,3,3,https://live.thomastonauction.com/auction-lot/tiffany-studios-acorn-pattern-leaded-glass-lamp-s_9ad9d18f42
day3,3052,"TIFFANY STUDIOS BRONZE HARP FLOOR LAMP BASE",2000,3000,1000,3,2,https://live.thomastonauction.com/auction-lot/tiffany-studios-bronze-harp-floor-lamp-base_78be75da07
day3,3049,"TIFFANY STUDIOS LAMP",25000,35000,12000,3,8,https://live.thomastonauction.com/auction-lot/tiffany-studios-lamp_f421dfd127
day3,3050,"TIFFANY STUDIOS ""PINE NEEDLE"" JEWELRY BOX",1500,2500,750,3,4,https://live.thomastonauction.com/auction-lot/tiffany-studios-pine-needle-jewelry-box_d8f13cfbb5
day3,3297,"TIM NGUYEN (20TH-21ST C. HONOULU)",400,600,100,3,2,https://live.thomastonauction.com/auction-lot/tim-nguyen-20th-21st-c-honoulu_13cd381227
day3,3298,"TIM NGUYEN (20TH-21ST C. HONOULU)",5000,7000,2500,3,4,https://live.thomastonauction.com/auction-lot/tim-nguyen-20th-21st-c-honoulu_13d37f4da9
day3,3299,"TIM NGUYEN (20TH-21ST C. HONOULU)",1000,1500,500,3,5,https://live.thomastonauction.com/auction-lot/tim-nguyen-20th-21st-c-honoulu_32985457af
day3,3128,"TOM BENNETT (CA, 1928- )",600,800,250,3,3,https://live.thomastonauction.com/auction-lot/tom-bennett-ca-1928_721a438b4a
day3,3305,"TOM PAIEMENT (BATH, MAINE)",800,1000,250,3,3,https://live.thomastonauction.com/auction-lot/tom-paiement-bath-maine_9ef146eef8
day3,3303,"TOM PAIEMENT (BATH, MAINE)",2000,2500,1000,3,7,https://live.thomastonauction.com/auction-lot/tom-paiement-bath-maine_f5a25f0e19
day3,3190,"TWO TONE BREITLING CHRONOMAT WRISTWATCH",2500,4000,1200,3,3,https://live.thomastonauction.com/auction-lot/two-tone-breitling-chronomat-wristwatch_4ac83dd80c
day3,3294,"UNIDENTIFIED MID-CENTURY ABSTRACT EXPRESSIONIST PAINTING FROM JOHN NICHOLAS BROWN COLLECTION",10000,20000,5000,3,5,https://live.thomastonauction.com/auction-lot/unidentified-mid-century-abstract-expressionist-p_de7d24af38
day3,3417,"VANESSA NESVIG (ME, CONTEMPORARY)",300,500,100,3,4,https://live.thomastonauction.com/auction-lot/vanessa-nesvig-me-contemporary_05c85aa323
day3,3357,"VERNON BROE (IL/ME 1930-2011)",800,1000,250,3,3,https://live.thomastonauction.com/auction-lot/vernon-broe-il-me-1930-2011_13f7afcbfd
day3,3358,"VERNON GEORGE BROE (ME/IL, 1930-2011)",800,1200,250,3,3,https://live.thomastonauction.com/auction-lot/vernon-george-broe-me-il-1930-2011_2ebace4a22
day3,3159,"VICTORIAN BLACK WALNUT 2-PART SECRETARY BOOKCASE",1000,1500,500,3,4,https://live.thomastonauction.com/auction-lot/victorian-black-walnut-2-part-secretary-bookcase_9a1fa97fb9
day3,3241,"VICTORIAN GOLD AND MOTHER-OF-PEARL LORGNETTE, DATED 1850",600,800,250,3,2,https://live.thomastonauction.com/auction-lot/victorian-gold-and-mother-of-pearl-lorgnette-date_0b4b7b33eb
day3,3046,"VICTORIAN HOLLOW LEAD GARDEN SCULPTURE OF SATYR",400,600,100,3,1,https://live.thomastonauction.com/auction-lot/victorian-hollow-lead-garden-sculpture-of-satyr_6ce0fae902
day3,3098,"VICTORIAN LAMINATED ROSEWOOD GENT'S CHAIR",600,800,250,3,3,https://live.thomastonauction.com/auction-lot/victorian-laminated-rosewood-gents-chair_969e474089
day3,3219,"VICTORIAN MARBLE TOP CENTER TABLE",800,1000,250,3,3,https://live.thomastonauction.com/auction-lot/victorian-marble-top-center-table_3d2d4517fe
day3,3102,"VICTORIAN WALNUT ETAGERE",800,1200,250,3,3,https://live.thomastonauction.com/auction-lot/victorian-walnut-etagere_2721fb5938
day3,3062,"VICTORIAN WALNUT PARLOR TABLE",1000,1500,500,3,3,https://live.thomastonauction.com/auction-lot/victorian-walnut-parlor-table_223ceb4669
day3,3078,"VICTORIAN WALNUT POOL TABLE",2500,3500,1200,3,4,https://live.thomastonauction.com/auction-lot/victorian-walnut-pool-table_fa501e1093
day3,3379,"VINCENT ANDREW HARTGEN (ME/PA, 1914-2003)",600,800,250,3,4,https://live.thomastonauction.com/auction-lot/vincent-andrew-hartgen-me-pa-1914-2003_97806d814b
day3,3065,"VINTAGE 14K GOLD ABACUS PENDANT NECKLACE",1200,1500,600,3,2,https://live.thomastonauction.com/auction-lot/vintage-14k-gold-abacus-pendant-necklace_5ab2a4a4d7
day3,3237,"VINTAGE 14K GOLD AND DIAMOND BRACELET",2500,3000,1200,3,2,https://live.thomastonauction.com/auction-lot/vintage-14k-gold-and-diamond-bracelet_f718d35c31
day3,3072,"VINTAGE 14K GOLD AND PEARL GRAPE CLUSTER BROOCH",700,900,250,3,2,https://live.thomastonauction.com/auction-lot/vintage-14k-gold-and-pearl-grape-cluster-brooch_50d25fb885
